_01_category,_02_state,_03_branch_name,_04_address,_07_google_map_url,_08_bank_data_url,_09_bank_type,_11_mother_bank_name,
Local Bank,Kuala Lumpur,Desa Sri Hartamas,"Lot B-02 & B-03, Galeria Hartamas Jalan 26/70A, Desa Sri Hartamas
50480
Kuala Lumpur","https://www.google.com/maps/place/Glomac+Galeria+Hartamas/@3.1603615,101.6481313,17z/data=!4m10!1m2!2m1!1s%22Lot+B-02+%26+B-03,+Galeria+Hartamas+Jalan+26%2F70A,+Desa+Sri+Hartamas+50480+Kuala+Lumpur%22!3m6!1s0x31cc48fac981b17b:0x6050617318a68953!8m2!3d3.1603615!4d101.65032!15sClYiTG90IEItMDIgJiBCLTAzLCBHYWxlcmlhIEhhcnRhbWFzIEphbGFuIDI2LzcwQSwgRGVzYSBTcmkgSGFydGFtYXMgNTA0ODAgS3VhbGEgTHVtcHVyIpIBD2J1c2luZXNzX2NlbnRlcuABAA!16s%2Fg%2F11h_tdcb51?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Glo Damansara,"G.01, G.01AL, 1.01, Aras 1, Glo Damansara, Jalan Damansara,
60000
Kuala Lumpur","https://www.google.com/maps/place/Glo+Damansara+Shopping+Mall/@3.132696,101.627663,17z/data=!4m10!1m2!2m1!1s%22G.01,+G.01AL,+1.01,+Aras+1,+Glo+Damansara,+Jalan+Damansara,+60000+Kuala+Lumpur%22!3m6!1s0x31cc49387f56f78f:0xaf2681b1a0dad123!8m2!3d3.132696!4d101.6298517!15sClAiRy4wMSwgRy4wMUFMLCAxLjAxLCBBcmFzIDEsIEdsbyBEYW1hbnNhcmEsIEphbGFuIERhbWFuc2FyYSwgNjAwMDAgS3VhbGEgTHVtcHVyIpIBD3Nob3BwaW5nX2NlbnRlcuABAA!16s%2Fg%2F11c61knmh1?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,Melawati,"G-2 & G-3, Melawati Corporate Centre, Taman Melawati,
53100
Kuala Lumpur","https://www.google.com/maps/place/Melawati+Corporate+Center+(MCC)+Management+Office+Basement+1/@3.2154006,101.7418747,15z/data=!4m10!1m2!2m1!1s%22G-2+%26+G-3,+Melawati+Corporate+Centre,+Taman+Melawati,+53100+Kuala+Lumpur%22!3m6!1s0x31cc39c06d2d6f6d:0x8fcd872d39e34d99!8m2!3d3.2095695!4d101.7527575!15sCkoiRy0yICYgRy0zLCBNZWxhd2F0aSBDb3Jwb3JhdGUgQ2VudHJlLCBUYW1hbiBNZWxhd2F0aSwgNTMxMDAgS3VhbGEgTHVtcHVyIpIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11jf0cjvdy?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Kuala Lumpur,"Utama, MKBR","Ground Floor, Menara Kembar Bank Rakyat, No 33, Jalan Rakyat, KL Sentral
50470
Kuala Lumpur","https://www.google.com/maps/place/Menara+Kembar+Bank+Rakyat/@3.1302364,101.6827112,17z/data=!3m2!4b1!5s0x31cc49953d85f8ed:0xb723c1335064a221!4m6!3m5!1s0x31cc49956801d69b:0x7f6f0140a1dce7ef!8m2!3d3.1302364!4d101.6827112!16s%2Fg%2F11b635k0lm?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,"Shah Alam, Seksyen 23","No. 23 & 25, Jalan Pelabur B/23B, Seksyen 23,
40300 Shah Alam,
Selangor","https://www.google.com/maps/place/23,+Jalan+Pelabur+B+23%2FB,+Seksyen+23,+40300+Shah+Alam,+Selangor,+Malaysia/@3.0453325,101.5261762,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc4d581f77c1c5:0x9783afe04e6f9e54!8m2!3d3.0453325!4d101.5261762!16s%2Fg%2F11frnjwk30?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Subang Perdana,"No. 39, Jalan Dinar GU 3/G, Seksyen U3, Taman Subang Perdana,
40150 Shah Alam,
Selangor","https://www.google.com/maps/place/Bank+Rakyat+Subang+Perdana/@3.150083,101.5414943,17z/data=!4m10!1m2!2m1!1s%22No.+39,+Jalan+Dinar+GU+3%2FG,+Seksyen+U3,+Taman+Subang+Perdana,+40150+Shah+Alam,+Selangor%22!3m6!1s0x31cc4e3444b1e2d9:0xbab008e3ae47f531!8m2!3d3.150083!4d101.543683!15sClkiTm8uIDM5LCBKYWxhbiBEaW5hciBHVSAzL0csIFNla3N5ZW4gVTMsIFRhbWFuIFN1YmFuZyBQZXJkYW5hLCA0MDE1MCBTaGFoIEFsYW0sIFNlbGFuZ29yIpIBBGJhbmvgAQA!16s%2Fg%2F1tfm44qv?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Kajang,"No. 18 & 19, Jalan Jelok 3, Off Jalan Bukit,
43000 Kajang,
Selangor","https://www.google.com/maps/place/18,+Jalan+Jelok+3,+Bandar+Kajang,+43000+Kajang,+Selangor,+Malaysia/@2.9914593,101.7918065,17z/data=!3m1!4b1!4m5!3m4!1s0x31cdcb8225dfb573:0xe64886898dbdd462!8m2!3d2.9914593!4d101.7918065?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Banting,"No. 239, Jalan Sultan Abdul Samad,
42700 Banting,
Selangor","https://www.google.com/maps/place/239,+Jalan+Sultan+Abdul+Samad,+Banting,+42700+Banting,+Selangor,+Malaysia/@2.8129874,101.5015192,17z/data=!3m1!4b1!4m6!3m5!1s0x31cda4962e64a1e3:0x1699e3bdec790e89!8m2!3d2.8129874!4d101.5015192!16s%2Fg%2F11sy_66ntb?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Bandar Baru Klang,"No. 2, Lorong Tiara 1B, Bandar Baru Klang,
41150 Klang,
Selangor","https://www.google.com/maps/place/2,+Lorong+Tiara+1b,+Bandar+Baru+Klang,+41150+Klang,+Selangor,+Malaysia/@3.0630355,101.4701272,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc531af81c8d89:0x2d45ea11211229b3!8m2!3d3.0630355!4d101.4701272!16s%2Fg%2F11fhk5p122?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Petaling Jaya,"No. 1-1, Jalan 14/22, Wisma Federal Academy Ballet,
46100 Petaling Jaya,
Selangor","https://www.google.com/maps/place/1,+Jalan+14%2F22,+Pjs+3,+46100+Petaling+Jaya,+Selangor,+Malaysia/@3.111408,101.634083,17z/data=!3m1!4b1!4m10!1m2!2m1!1s%22No.+1-1,+Jalan+14%2F22,+Wisma+Federal+Academy+Ballet,+46100+Petaling+Jaya,+Selangor%22!3m6!1s0x31cc4be19454bf9b:0x77c6df15e3edae12!8m2!3d3.111408!4d101.634083!15sClMiTm8uIDEtMSwgSmFsYW4gMTQvMjIsIFdpc21hIEZlZGVyYWwgQWNhZGVteSBCYWxsZXQsIDQ2MTAwIFBldGFsaW5nIEpheWEsIFNlbGFuZ29yIiIDiAEBkgEQZ2VvY29kZWRfYWRkcmVzc-ABAA!16s%2Fg%2F11c1zy6njw?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
Local Bank,Selangor,Ampang,"No.2, Jalan Dagang 1/1A, Taman Dagang,
68000 Ampang,
Selangor","https://www.google.com/maps/place/2,+Jalan+Dagang+1%2F1a,+Taman+Dagang+Jaya,+68000+Ampang,+Selangor,+Malaysia/@3.1520001,101.7586192,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc370218086ebd:0x1f48073d89e8a799!8m2!3d3.1520001!4d101.7586192!16s%2Fg%2F11h79rct4n?entry=ttu",https://www.bankrakyat.com.my/c/about/locator,Branches,Bank Rakyat,
